tmao	C01104
tre6p	C00689
tre6p	C00689
tre6p	C00689
ttdca	C06424
ttdca	C06424
ttdca	C06424
ttdca	C06424
ttdca	C06424
ttdca	C06424
ttdca	C06424
ttdca	C06424
u23ga	C04652
u23ga	C04652
u23ga	C04652
u3aga	C04738
u3aga	C04738
u3hga	C06022
u3hga	C06022
uacmamu	C06240
uacmamu	C06240
udcpp	C00348
udcpp	C00348
udcpp	C00348
udpgalfur	C03733
xu5p-L	C03291
xu5p-L	C03291
xyl-D	C00181
C15539	C15539
udp	C00015
C20467	C20467
C00325	C00325
C04657	C04657
gdp	C00035
C01311	C01311
C04865	C04865
h2o	C00001
C01310	C01310
so4	C00059
C04864	C04864
h2o	C00001
C01310	C01310
so4	C00059
atp	C00002
C04726	C04726
adp	C00008
C01308	C01308
C01308	C01308
h2o	C00001
C04726	C04726
pi	C00009
uacgam	C00043
C01306	C01306
udp	C00015
C04917	C04917
uacgam	C00043
C04135	C04135
udp	C00015
C01306	C01306
C02785	C02785
C01119	C01119
C05849	C05849
C00265	C00265
C02059	C02059
C01119	C01119
h2o	C00001
C05849	C05849
C00265	C00265
C02059	C02059
C00030	C00030
o2	C00007
C05849	C05849
C00028	C00028
h2o	C00001
C15877	C15877
h2o	C00001
C15878	C15878
C15878	C15878
C15879	C15879
C19795	C19795
C00028	C00028
C15874	C15874
C00030	C00030
C15874	C15874
amet	C00019
C15877	C15877
ahcys	C00021
C15884	C15884
o2	C00007
C00138	C00138
C15885	C15885
h2o	C00001
C00139	C00139
C04853	C04853
C05950	C05950
C19795	C19795
amet	C00019
C15886	C15886
ahcys	C00021
C15879	C15879
amet	C00019
C15881	C15881
ahcys	C00021
C15881	C15881
o2	C00007
C00138	C00138
C15884	C15884
h2o	C00001
C00139	C00139
C15886	C15886
h2o	C00001
C15887	C15887
C15887	C15887
amet	C00019
C15888	C15888
ahcys	C00021
atp	C00002
C01609	C01609
adp	C00008
C02729	C02729
amet	C00019
C02864	C02864
ahcys	C00021
C01610	C01610
C01606	C01606
o2	C00007
nadh	C00004
h	C00080
C04783	C04783
nad	C00003
atp	C00002
C01607	C01607
coa	C00010
amp	C00020
ppi	C00013
C02060	C02060
C05906	C05906
nadp	C00006
C01617	C01617
nadph	C00005
h	C00080
C01617	C01617
o2	C00007
nadh	C00004
h	C00080
C03052	C03052
nad	C00003
h2o	C00001
C01613	C01613
h2o	C00001
C00492	C00492
C00124	C00124
C01613	C01613
h2o	C00001
C05404	C05404
fru	C00095
C01617	C01617
o2	C00007
nadph	C00005
h	C00080
C03052	C03052
nadp	C00006
h2o	C00001
C01617	C01617
o2	C00007
nadph	C00005
h	C00080
C02906	C02906
nadp	C00006
h2o	C00001
C00375	C00375
h2o	C00001
C00028	C00028
C00071	C00071
nh4	C00014
C00030	C00030
dgtp	C00286
h2o	C00001
dgmp	C00362
ppi	C00013
dgtp	C00286
h2o	C00001
dgsn	C00330
pppi	C00536
dgtp	C00286
h2o	C00001
dgsn	C00330
pppi	C00536
atp	C00002
dgdp	C00361
adp	C00008
dgtp	C00286
atp	C00002
dgdp	C00361
adp	C00008
dgtp	C00286
accoa	C00024
h2s	C00283
coa	C00010
C01857	C01857
ch4s	C00409
o2	C00007
h2o	C00001
h2s	C00283
fald	C00067
h2o2	C00027
C00375	C00375
dtdp4aaddg	C04346
h2o	C00001
o2	C00007
C00071	C00071
nh4	C00014
h2o2	C00027
dgtp	C00286
pyr	C00022
dgdp	C00361
pep	C00074
atp	C00002
ppcoa	C00100
hco3	C00288
adp	C00008
pi	C00009
mmcoa-S	C00683
accoa	C00024
C00400	C00400
coa	C00010
C09870	C09870
accoa	C00024
C00553	C00553
coa	C00010
C16825	C16825
accoa	C00024
C01765	C01765
coa	C00010
C11338	C11338
udpg	C00029
C00482	C00482
udp	C00015
C02919	C02919
udpg	C00029
C00811	C00811
udp	C00015
C16827	C16827
C01722	C01722
nad	C00003
C01719	C01719
nadh	C00004
h	C00080
amet	C00019
C06212	C06212
ahcys	C00021
C08299	C08299
amet	C00019
C02951	C02951
ahcys	C00021
C02162	C02162
nadph	C00005
C00996	C00996
nadp	C00006
C00999	C00999
C03409	C03409
h2o	C00001
C01044	C01044
nh4	C00014
C03479	C03479
glu-L	C00025
thf	C00101
Nforglu	C01045
C01040	C01040
o2	C00007
C03289	C03289
h2o2	C00027
C01041	C01041
g3ps	C00352
C00028	C00028
C05422	C05422
C00030	C00030
C01041	C01041
C05422	C05422
C00072	C00072
atp	C00002
C02565	C02565
h2o	C00001
adp	C00008
pi	C00009
C01043	C01043
C03078	C03078
h2o	C00001
4gubut	C01035
nh4	C00014
4mlacac	C01036
4fumacac	C01061
4mlacac	C01036
4fumacac	C01061
atp	C00002
dann	C01037
co2	C00011
adp	C00008
pi	C00009
dtbt	C01909
C01040	C01040
nadp	C00006
C02670	C02670
nadph	C00005
h	C00080
